"Census Tract","FIPS Code","Formatted FIPS","Estimated percent of households with a smartphone and no other t"
"06037191610, CA","06037191610","=""06037191610""","12.42"
"06037620201, CA","06037620201","=""06037620201""","3.24"
"06037139303, CA","06037139303","=""06037139303""","3.30"
"06037192610, CA","06037192610","=""06037192610""","11.61"
"06037128303, CA","06037128303","=""06037128303""","24.48"
"06037207102, CA","06037207102","=""06037207102""","13.24"
"06037122121, CA","06037122121","=""06037122121""","4.58"
"06037218800, CA","06037218800","=""06037218800""","6.00"
"06037209200, CA","06037209200","=""06037209200""","3.21"
"06037228210, CA","06037228210","=""06037228210""","17.45"
"06037534404, CA","06037534404","=""06037534404""","13.01"
"06037216401, CA","06037216401","=""06037216401""","2.55"
"06037301204, CA","06037301204","=""06037301204""","0.61"
"06037221900, CA","06037221900","=""06037221900""","8.43"
"06037186202, CA","06037186202","=""06037186202""","6.89"
"06037239701, CA","06037239701","=""06037239701""","32.32"
"06037210010, CA","06037210010","=""06037210010""","18.66"
"06037573004, CA","06037573004","=""06037573004""","11.42"
"06037191820, CA","06037191820","=""06037191820""","4.69"
"06037191810, CA","06037191810","=""06037191810""","6.51"
"06037701202, CA","06037701202","=""06037701202""","0.95"
"06037228710, CA","06037228710","=""06037228710""","12.86"
"06037190301, CA","06037190301","=""06037190301""","1.93"
"06037228720, CA","06037228720","=""06037228720""","18.87"
"06037575102, CA","06037575102","=""06037575102""","12.11"
"06037534802, CA","06037534802","=""06037534802""","15.74"
"06037195802, CA","06037195802","=""06037195802""","10.13"
"06037186404, CA","06037186404","=""06037186404""","11.40"
"06037575202, CA","06037575202","=""06037575202""","19.34"
"06037297201, CA","06037297201","=""06037297201""","13.97"
"06037533701, CA","06037533701","=""06037533701""","18.11"
"06037125401, CA","06037125401","=""06037125401""","2.54"
"06037264102, CA","06037264102","=""06037264102""","0.85"
"06037238310, CA","06037238310","=""06037238310""","28.95"
"06037189101, CA","06037189101","=""06037189101""","2.05"
"06037571703, CA","06037571703","=""06037571703""","13.71"
"06037199201, CA","06037199201","=""06037199201""","8.08"
"06037213402, CA","06037213402","=""06037213402""","10.99"
"06037120108, CA","06037120108","=""06037120108""","10.84"
"06037197600, CA","06037197600","=""06037197600""","0.77"
"06037218210, CA","06037218210","=""06037218210""","17.18"
"06037534406, CA","06037534406","=""06037534406""","13.86"
"06037534302, CA","06037534302","=""06037534302""","7.67"
"06037533203, CA","06037533203","=""06037533203""","9.88"
"06037265510, CA","06037265510","=""06037265510""","1.50"
"06037211420, CA","06037211420","=""06037211420""","11.37"
"06037294820, CA","06037294820","=""06037294820""","18.88"
"06037221500, CA","06037221500","=""06037221500""","15.13"
"06037191120, CA","06037191120","=""06037191120""","11.27"
"06037232110, CA","06037232110","=""06037232110""","21.33"
"06037183610, CA","06037183610","=""06037183610""","8.85"
"06037117408, CA","06037117408","=""06037117408""","19.23"
"06037302504, CA","06037302504","=""06037302504""","6.67"
"06037195803, CA","06037195803","=""06037195803""","2.60"
"06037212900, CA","06037212900","=""06037212900""","14.92"
"06037533201, CA","06037533201","=""06037533201""","8.73"
"06037239801, CA","06037239801","=""06037239801""","14.11"
"06037221601, CA","06037221601","=""06037221601""","9.96"
"06037534804, CA","06037534804","=""06037534804""","15.37"
"06037201504, CA","06037201504","=""06037201504""","3.80"
"06037224200, CA","06037224200","=""06037224200""","10.58"
"06037554103, CA","06037554103","=""06037554103""","4.41"
"06037531604, CA","06037531604","=""06037531604""","16.85"
"06037228220, CA","06037228220","=""06037228220""","18.11"
"06037211122, CA","06037211122","=""06037211122""","7.38"
"06037189902, CA","06037189902","=""06037189902""","0.95"
"06037127520, CA","06037127520","=""06037127520""","21.68"
"06037576904, CA","06037576904","=""06037576904""","7.07"
"06037600303, CA","06037600303","=""06037600303""","27.06"
"06037554104, CA","06037554104","=""06037554104""","13.43"
"06037120030, CA","06037120030","=""06037120030""","18.39"
"06037218702, CA","06037218702","=""06037218702""","14.00"
"06037134305, CA","06037134305","=""06037134305""","16.37"
"06037221210, CA","06037221210","=""06037221210""","19.34"
"06037224420, CA","06037224420","=""06037224420""","15.94"
"06037239602, CA","06037239602","=""06037239602""","15.90"
"06037212610, CA","06037212610","=""06037212610""","9.16"
"06037215101, CA","06037215101","=""06037215101""","1.87"
"06037134521, CA","06037134521","=""06037134521""","24.40"
"06037139503, CA","06037139503","=""06037139503""","4.40"
"06037208610, CA","06037208610","=""06037208610""","6.53"
"06037275101, CA","06037275101","=""06037275101""","2.98"
"06037575902, CA","06037575902","=""06037575902""","8.48"
"06037195902, CA","06037195902","=""06037195902""","3.88"
"06037239320, CA","06037239320","=""06037239320""","20.05"
"06037533300, CA","06037533300","=""06037533300""","17.86"
"06037533103, CA","06037533103","=""06037533103""","26.75"
"06037533107, CA","06037533107","=""06037533107""","12.51"
"06037214400, CA","06037214400","=""06037214400""","0.90"
"06037533104, CA","06037533104","=""06037533104""","17.46"
"06037208402, CA","06037208402","=""06037208402""","3.75"
"06037192510, CA","06037192510","=""06037192510""","14.42"
"06037302004, CA","06037302004","=""06037302004""","4.37"
"06037541606, CA","06037541606","=""06037541606""","15.55"
"06037124902, CA","06037124902","=""06037124902""","2.80"
"06037139302, CA","06037139302","=""06037139302""","9.46"
"06037236203, CA","06037236203","=""06037236203""","12.70"
"06037540400, CA","06037540400","=""06037540400""","9.28"
"06037213202, CA","06037213202","=""06037213202""","15.93"
"06037269904, CA","06037269904","=""06037269904""","3.63"
"06037237500, CA","06037237500","=""06037237500""","16.33"
"06037228320, CA","06037228320","=""06037228320""","13.40"
"06037117510, CA","06037117510","=""06037117510""","12.09"
"06037195804, CA","06037195804","=""06037195804""","7.02"
"06037265602, CA","06037265602","=""06037265602""","0.76"
"06037554105, CA","06037554105","=""06037554105""","12.74"
"06037293307, CA","06037293307","=""06037293307""","9.85"
"06037213201, CA","06037213201","=""06037213201""","16.26"
"06037269601, CA","06037269601","=""06037269601""","7.25"
"06037533202, CA","06037533202","=""06037533202""","12.50"
"06037221710, CA","06037221710","=""06037221710""","10.95"
"06037119341, CA","06037119341","=""06037119341""","5.23"
"06037302503, CA","06037302503","=""06037302503""","4.96"
"06037117520, CA","06037117520","=""06037117520""","15.04"
"06037189201, CA","06037189201","=""06037189201""","3.24"
"06037124105, CA","06037124105","=""06037124105""","9.15"
"06037211802, CA","06037211802","=""06037211802""","10.05"
"06037124104, CA","06037124104","=""06037124104""","11.04"
"06037123204, CA","06037123204","=""06037123204""","12.66"
"06037124204, CA","06037124204","=""06037124204""","5.27"
"06037124203, CA","06037124203","=""06037124203""","1.97"
"06037192420, CA","06037192420","=""06037192420""","8.76"
"06037124103, CA","06037124103","=""06037124103""","10.47"
"06037234901, CA","06037234901","=""06037234901""","21.33"
"06037237720, CA","06037237720","=""06037237720""","12.25"
"06037190801, CA","06037190801","=""06037190801""","10.84"
"06037208620, CA","06037208620","=""06037208620""","10.68"
"06037207103, CA","06037207103","=""06037207103""","8.64"
"06037533702, CA","06037533702","=""06037533702""","14.98"
"06037602506, CA","06037602506","=""06037602506""","5.23"
"06037231710, CA","06037231710","=""06037231710""","24.79"
"06037576903, CA","06037576903","=""06037576903""","6.06"
"06037573002, CA","06037573002","=""06037573002""","16.27"
"06037602505, CA","06037602505","=""06037602505""","11.87"
"06037576403, CA","06037576403","=""06037576403""","7.15"
"06037576402, CA","06037576402","=""06037576402""","18.03"
"06037576401, CA","06037576401","=""06037576401""","15.25"
"06037575402, CA","06037575402","=""06037575402""","20.02"
"06037576302, CA","06037576302","=""06037576302""","10.78"
"06037602507, CA","06037602507","=""06037602507""","10.52"
"06037203720, CA","06037203720","=""06037203720""","10.72"
"06037231210, CA","06037231210","=""06037231210""","14.01"
"06037602504, CA","06037602504","=""06037602504""","4.86"
"06037204820, CA","06037204820","=""06037204820""","12.30"
"06037575802, CA","06037575802","=""06037575802""","16.84"
"06037190510, CA","06037190510","=""06037190510""","7.94"
"06037294810, CA","06037294810","=""06037294810""","17.46"
"06037534403, CA","06037534403","=""06037534403""","16.67"
"06037221120, CA","06037221120","=""06037221120""","20.55"
"06037535503, CA","06037535503","=""06037535503""","12.13"
"06037214901, CA","06037214901","=""06037214901""","1.93"
"06037124903, CA","06037124903","=""06037124903""","0.00"
"06037213310, CA","06037213310","=""06037213310""","13.89"
"06037191410, CA","06037191410","=""06037191410""","16.47"
"06037213320, CA","06037213320","=""06037213320""","21.23"
"06037265305, CA","06037265305","=""06037265305""","3.30"
"06037576503, CA","06037576503","=""06037576503""","7.91"
"06037272202, CA","06037272202","=""06037272202""","1.64"
"06037183820, CA","06037183820","=""06037183820""","17.02"
"06037192520, CA","06037192520","=""06037192520""","13.22"
"06037209300, CA","06037209300","=""06037209300""","18.93"
"06037576502, CA","06037576502","=""06037576502""","7.06"
"06037209102, CA","06037209102","=""06037209102""","19.16"
"06037221810, CA","06037221810","=""06037221810""","12.39"
"06037204420, CA","06037204420","=""06037204420""","14.19"
"06037204200, CA","06037204200","=""06037204200""","15.90"
"06037207101, CA","06037207101","=""06037207101""","7.39"
"06037533106, CA","06037533106","=""06037533106""","8.27"
"06037204410, CA","06037204410","=""06037204410""","10.69"
"06037195901, CA","06037195901","=""06037195901""","5.36"
"06037269602, CA","06037269602","=""06037269602""","2.07"
"06037224320, CA","06037224320","=""06037224320""","28.44"
"06037139504, CA","06037139504","=""06037139504""","2.67"
"06037576501, CA","06037576501","=""06037576501""","7.07"
"06037195720, CA","06037195720","=""06037195720""","14.69"
"06037212620, CA","06037212620","=""06037212620""","15.83"
"06037571600, CA","06037571600","=""06037571600""","15.19"
"06037127103, CA","06037127103","=""06037127103""","14.74"
"06037205110, CA","06037205110","=""06037205110""","15.40"
"06037212502, CA","06037212502","=""06037212502""","13.34"
"06037267404, CA","06037267404","=""06037267404""","0.49"
"06037269903, CA","06037269903","=""06037269903""","2.40"
"06037226410, CA","06037226410","=""06037226410""","13.57"
"06037203710, CA","06037203710","=""06037203710""","15.64"
"06037532606, CA","06037532606","=""06037532606""","13.22"
"06037228410, CA","06037228410","=""06037228410""","21.99"
"06037228420, CA","06037228420","=""06037228420""","16.08"
"06037269907, CA","06037269907","=""06037269907""","6.00"
"06037242100, CA","06037242100","=""06037242100""","12.12"
"06037191301, CA","06037191301","=""06037191301""","11.49"
"06037191110, CA","06037191110","=""06037191110""","5.91"
"06037211410, CA","06037211410","=""06037211410""","17.98"
"06037208801, CA","06037208801","=""06037208801""","10.05"
"06037191720, CA","06037191720","=""06037191720""","25.65"
"06037204120, CA","06037204120","=""06037204120""","10.76"
"06037141303, CA","06037141303","=""06037141303""","1.74"
"06037208502, CA","06037208502","=""06037208502""","15.17"
"06037540201, CA","06037540201","=""06037540201""","31.64"
"06037272201, CA","06037272201","=""06037272201""","8.39"
"06037189905, CA","06037189905","=""06037189905""","6.69"
"06037214502, CA","06037214502","=""06037214502""","0.00"
"06037215102, CA","06037215102","=""06037215102""","1.05"
"06037207302, CA","06037207302","=""06037207302""","6.32"
"06037532604, CA","06037532604","=""06037532604""","16.16"
"06037267403, CA","06037267403","=""06037267403""","2.31"
"06037190520, CA","06037190520","=""06037190520""","8.73"
"06037192620, CA","06037192620","=""06037192620""","13.98"
"06037208501, CA","06037208501","=""06037208501""","9.71"
"06037195903, CA","06037195903","=""06037195903""","0.55"
"06037269905, CA","06037269905","=""06037269905""","0.56"
"06037302003, CA","06037302003","=""06037302003""","4.84"
"06037221110, CA","06037221110","=""06037221110""","28.90"
"06037221303, CA","06037221303","=""06037221303""","19.36"
"06037533502, CA","06037533502","=""06037533502""","5.59"
"06037106407, CA","06037106407","=""06037106407""","10.84"
"06037214503, CA","06037214503","=""06037214503""","4.09"
"06037209520, CA","06037209520","=""06037209520""","16.93"
"06037264103, CA","06037264103","=""06037264103""","0.00"
"06037106408, CA","06037106408","=""06037106408""","6.59"
"06037208401, CA","06037208401","=""06037208401""","12.28"
"06037236204, CA","06037236204","=""06037236204""","10.85"
"06037216402, CA","06037216402","=""06037216402""","1.26"
"06037191620, CA","06037191620","=""06037191620""","15.32"
"06037191420, CA","06037191420","=""06037191420""","13.94"
"06037221304, CA","06037221304","=""06037221304""","17.65"
"06037190201, CA","06037190201","=""06037190201""","8.91"
"06037603004, CA","06037603004","=""06037603004""","14.20"
"06037119342, CA","06037119342","=""06037119342""","10.55"
"06037209401, CA","06037209401","=""06037209401""","20.39"
"06037211121, CA","06037211121","=""06037211121""","7.11"
"06037212204, CA","06037212204","=""06037212204""","18.00"
"06037190202, CA","06037190202","=""06037190202""","12.48"
"06037208802, CA","06037208802","=""06037208802""","12.19"
"06037120107, CA","06037120107","=""06037120107""","14.44"
"06037269906, CA","06037269906","=""06037269906""","2.56"
"06037120106, CA","06037120106","=""06037120106""","19.34"
"06037212202, CA","06037212202","=""06037212202""","13.43"
"06037212304, CA","06037212304","=""06037212304""","16.36"
"06037191203, CA","06037191203","=""06037191203""","17.92"
"06037221820, CA","06037221820","=""06037221820""","2.84"
"06037117405, CA","06037117405","=""06037117405""","20.78"
"06037191204, CA","06037191204","=""06037191204""","8.84"
"06037117407, CA","06037117407","=""06037117407""","18.04"
"06037575803, CA","06037575803","=""06037575803""","21.72"
"06037213401, CA","06037213401","=""06037213401""","13.03"
"06037533105, CA","06037533105","=""06037533105""","22.72"
"06037211320, CA","06037211320","=""06037211320""","16.64"
"06037211804, CA","06037211804","=""06037211804""","9.09"
"06037212101, CA","06037212101","=""06037212101""","2.52"
"06037535606, CA","06037535606","=""06037535606""","13.97"
"06037211704, CA","06037211704","=""06037211704""","5.71"
"06037211703, CA","06037211703","=""06037211703""","8.09"
"06037208902, CA","06037208902","=""06037208902""","33.43"
"06037209510, CA","06037209510","=""06037209510""","14.10"
"06037224310, CA","06037224310","=""06037224310""","15.30"
"06037211202, CA","06037211202","=""06037211202""","17.95"
"06037209820, CA","06037209820","=""06037209820""","14.22"
"06037533503, CA","06037533503","=""06037533503""","19.87"
"06037208710, CA","06037208710","=""06037208710""","9.59"
"06037190401, CA","06037190401","=""06037190401""","6.21"
"06037208720, CA","06037208720","=""06037208720""","23.65"
"06037212306, CA","06037212306","=""06037212306""","19.47"
"06037189904, CA","06037189904","=""06037189904""","3.39"
"06037208903, CA","06037208903","=""06037208903""","20.79"
"06037190402, CA","06037190402","=""06037190402""","7.54"
"06037212410, CA","06037212410","=""06037212410""","9.07"
"06037212303, CA","06037212303","=""06037212303""","16.48"
"06037209810, CA","06037209810","=""06037209810""","17.67"
"06037265303, CA","06037265303","=""06037265303""","0.95"
"06037211310, CA","06037211310","=""06037211310""","13.52"
"06037212420, CA","06037212420","=""06037212420""","18.32"
"06037211803, CA","06037211803","=""06037211803""","6.00"
"06037211201, CA","06037211201","=""06037211201""","15.65"
"06037120103, CA","06037120103","=""06037120103""","8.73"
"06037212102, CA","06037212102","=""06037212102""","11.29"
"06037209403, CA","06037209403","=""06037209403""","19.59"
"06037211910, CA","06037211910","=""06037211910""","11.35"
"06037209402, CA","06037209402","=""06037209402""","26.50"
"06037207501, CA","06037207501","=""06037207501""","0.79"
"06037265304, CA","06037265304","=""06037265304""","1.79"
"06037209103, CA","06037209103","=""06037209103""","17.30"
"06037119340, CA","06037119340","=""06037119340""","13.63"
"06037208904, CA","06037208904","=""06037208904""","21.22"
"06037212305, CA","06037212305","=""06037212305""","13.36"
"06037212203, CA","06037212203","=""06037212203""","13.43"
"06037208301, CA","06037208301","=""06037208301""","19.24"
"06037211922, CA","06037211922","=""06037211922""","12.38"
"06037211921, CA","06037211921","=""06037211921""","11.47"
"06037189903, CA","06037189903","=""06037189903""","0.73"
"06037212501, CA","06037212501","=""06037212501""","12.92"
"06037209104, CA","06037209104","=""06037209104""","15.05"

"Location: Los Angeles (County, 2010)"

"Census Tract Boundary Year: 2010"

"Indicator source: Census"
"http://www.policymap.com/our-data-directory.html#Census:%20Decennial%20Census%20and%20American%20Community%20Survey%20(ACS)"

"When using PolicyMap data in your work, please consult the Terms of Use and the instructions for Citing Us:"
"https://www.policymap.com/terms/"
"https://www.policymap.com/citing/"
