"Census Tract","FIPS Code","Formatted FIPS","Estimated percent of households with a smartphone and no other t"
"06037910208, CA","06037910208","=""06037910208""","4.92"
"06037141500, CA","06037141500","=""06037141500""","1.56"
"06037111204, CA","06037111204","=""06037111204""","0.00"
"06037408006, CA","06037408006","=""06037408006""","11.59"
"06037920330, CA","06037920330","=""06037920330""","5.66"
"06037532302, CA","06037532302","=""06037532302""","16.19"
"06037503602, CA","06037503602","=""06037503602""","4.23"
"06037122000, CA","06037122000","=""06037122000""","5.68"
"06037278102, CA","06037278102","=""06037278102""","2.11"
"06037141700, CA","06037141700","=""06037141700""","0.66"
"06037106112, CA","06037106112","=""06037106112""","4.56"
"06037500700, CA","06037500700","=""06037500700""","7.53"
"06037703002, CA","06037703002","=""06037703002""","2.03"
"06037460200, CA","06037460200","=""06037460200""","2.63"
"06037910210, CA","06037910210","=""06037910210""","6.40"
"06037433700, CA","06037433700","=""06037433700""","13.61"
"06037408627, CA","06037408627","=""06037408627""","0.54"
"06037401202, CA","06037401202","=""06037401202""","1.89"
"06037431700, CA","06037431700","=""06037431700""","5.23"
"06037403408, CA","06037403408","=""06037403408""","2.08"
"06037900501, CA","06037900501","=""06037900501""","0.41"
"06037482800, CA","06037482800","=""06037482800""","9.77"
"06037464000, CA","06037464000","=""06037464000""","1.79"
"06037400304, CA","06037400304","=""06037400304""","3.66"
"06037407802, CA","06037407802","=""06037407802""","4.13"
"06037543400, CA","06037543400","=""06037543400""","8.70"
"06037137402, CA","06037137402","=""06037137402""","1.74"
"06037543202, CA","06037543202","=""06037543202""","16.29"
"06037576001, CA","06037576001","=""06037576001""","0.62"
"06037536102, CA","06037536102","=""06037536102""","4.83"
"06037262302, CA","06037262302","=""06037262302""","0.00"
"06037407002, CA","06037407002","=""06037407002""","6.69"
"06037577300, CA","06037577300","=""06037577300""","1.58"
"06037297400, CA","06037297400","=""06037297400""","2.32"
"06037431100, CA","06037431100","=""06037431100""","1.69"
"06037401101, CA","06037401101","=""06037401101""","3.71"
"06037403323, CA","06037403323","=""06037403323""","3.19"
"06037430701, CA","06037430701","=""06037430701""","1.94"
"06037920118, CA","06037920118","=""06037920118""","0.61"
"06037920040, CA","06037920040","=""06037920040""","1.93"
"06037910209, CA","06037910209","=""06037910209""","2.73"
"06037670701, CA","06037670701","=""06037670701""","5.81"
"06037577603, CA","06037577603","=""06037577603""","0.19"
"06037670202, CA","06037670202","=""06037670202""","0.00"
"06037980025, CA","06037980025","=""06037980025""","N/A"
"06037430502, CA","06037430502","=""06037430502""","1.50"
"06037482001, CA","06037482001","=""06037482001""","11.76"
"06037920313, CA","06037920313","=""06037920313""","3.07"
"06037573402, CA","06037573402","=""06037573402""","5.09"
"06037403316, CA","06037403316","=""06037403316""","4.23"
"06037550800, CA","06037550800","=""06037550800""","12.18"
"06037543100, CA","06037543100","=""06037543100""","9.41"
"06037139301, CA","06037139301","=""06037139301""","5.19"
"06037670411, CA","06037670411","=""06037670411""","2.99"
"06037463800, CA","06037463800","=""06037463800""","0.00"
"06037920114, CA","06037920114","=""06037920114""","1.90"
"06037408212, CA","06037408212","=""06037408212""","3.99"
"06037482600, CA","06037482600","=""06037482600""","7.10"
"06037262706, CA","06037262706","=""06037262706""","0.76"
"06037406702, CA","06037406702","=""06037406702""","5.80"
"06037311600, CA","06037311600","=""06037311600""","1.44"
"06037108201, CA","06037108201","=""06037108201""","0.00"
"06037920334, CA","06037920334","=""06037920334""","1.01"
"06037432500, CA","06037432500","=""06037432500""","6.49"
"06037920108, CA","06037920108","=""06037920108""","0.69"
"06037401312, CA","06037401312","=""06037401312""","4.09"
"06037532200, CA","06037532200","=""06037532200""","12.14"
"06037602900, CA","06037602900","=""06037602900""","9.65"
"06037571800, CA","06037571800","=""06037571800""","0.68"
