"Census Tract","FIPS Code","Formatted FIPS","Estimated percent of households with a cellular data plan and no"
"06037430400, CA","06037430400","=""06037430400""","4.10"
"06037800324, CA","06037800324","=""06037800324""","2.62"
"06037530003, CA","06037530003","=""06037530003""","6.76"
"06037700700, CA","06037700700","=""06037700700""","1.24"
"06037650901, CA","06037650901","=""06037650901""","7.13"
"06037194102, CA","06037194102","=""06037194102""","1.76"
"06037464200, CA","06037464200","=""06037464200""","5.39"
"06037403405, CA","06037403405","=""06037403405""","12.01"
"06037650401, CA","06037650401","=""06037650401""","6.54"
"06037482402, CA","06037482402","=""06037482402""","7.59"
"06037920033, CA","06037920033","=""06037920033""","0.00"
"06037541002, CA","06037541002","=""06037541002""","11.00"
"06037262802, CA","06037262802","=""06037262802""","4.75"
"06037139701, CA","06037139701","=""06037139701""","5.70"
"06037143700, CA","06037143700","=""06037143700""","3.56"
"06037980008, CA","06037980008","=""06037980008""","0.00"
"06037574400, CA","06037574400","=""06037574400""","3.33"
"06037404402, CA","06037404402","=""06037404402""","6.72"
"06037403318, CA","06037403318","=""06037403318""","5.65"
"06037408302, CA","06037408302","=""06037408302""","18.13"
"06037980006, CA","06037980006","=""06037980006""","N/A"
"06037910208, CA","06037910208","=""06037910208""","6.98"
"06037141500, CA","06037141500","=""06037141500""","4.51"
"06037111204, CA","06037111204","=""06037111204""","5.93"
"06037408006, CA","06037408006","=""06037408006""","6.94"
"06037920330, CA","06037920330","=""06037920330""","6.89"
"06037532302, CA","06037532302","=""06037532302""","17.17"
"06037503602, CA","06037503602","=""06037503602""","12.01"
"06037122000, CA","06037122000","=""06037122000""","12.12"
"06037278102, CA","06037278102","=""06037278102""","4.56"
"06037141700, CA","06037141700","=""06037141700""","1.88"
"06037106112, CA","06037106112","=""06037106112""","6.63"
"06037500700, CA","06037500700","=""06037500700""","8.25"
"06037703002, CA","06037703002","=""06037703002""","3.08"
"06037460200, CA","06037460200","=""06037460200""","0.45"
"06037910210, CA","06037910210","=""06037910210""","3.34"
"06037433700, CA","06037433700","=""06037433700""","14.17"
"06037408627, CA","06037408627","=""06037408627""","9.98"
"06037401202, CA","06037401202","=""06037401202""","8.67"
"06037431700, CA","06037431700","=""06037431700""","4.06"
"06037403408, CA","06037403408","=""06037403408""","5.62"
"06037900501, CA","06037900501","=""06037900501""","10.46"
"06037482800, CA","06037482800","=""06037482800""","6.41"
"06037464000, CA","06037464000","=""06037464000""","6.47"
"06037400304, CA","06037400304","=""06037400304""","4.13"
"06037407802, CA","06037407802","=""06037407802""","6.59"
