"Census Tract","FIPS Code","Formatted FIPS","Estimated percent of households with a cellular data plan and no"
"06037240200, CA","06037240200","=""06037240200""","16.00"
"06037501504, CA","06037501504","=""06037501504""","6.67"
"06037603102, CA","06037603102","=""06037603102""","9.41"
"06037234700, CA","06037234700","=""06037234700""","10.71"
"06037273800, CA","06037273800","=""06037273800""","5.87"
"06037216800, CA","06037216800","=""06037216800""","4.22"
"06037481712, CA","06037481712","=""06037481712""","3.51"
"06037530203, CA","06037530203","=""06037530203""","13.10"
"06037570603, CA","06037570603","=""06037570603""","8.37"
"06037433902, CA","06037433902","=""06037433902""","10.12"
"06037265420, CA","06037265420","=""06037265420""","2.40"
"06037553400, CA","06037553400","=""06037553400""","6.40"
"06037189800, CA","06037189800","=""06037189800""","6.34"
"06037232700, CA","06037232700","=""06037232700""","17.78"
"06037551401, CA","06037551401","=""06037551401""","11.21"
"06037482503, CA","06037482503","=""06037482503""","8.73"
"06037191902, CA","06037191902","=""06037191902""","5.53"
"06037219020, CA","06037219020","=""06037219020""","22.37"
"06037301801, CA","06037301801","=""06037301801""","12.10"
"06037131702, CA","06037131702","=""06037131702""","6.14"
"06037122120, CA","06037122120","=""06037122120""","10.04"
"06037433901, CA","06037433901","=""06037433901""","9.62"
"06037405203, CA","06037405203","=""06037405203""","9.94"
"06037602104, CA","06037602104","=""06037602104""","10.06"
"06037224600, CA","06037224600","=""06037224600""","19.29"
"06037240020, CA","06037240020","=""06037240020""","20.73"
"06037482702, CA","06037482702","=""06037482702""","3.99"
"06037243000, CA","06037243000","=""06037243000""","22.44"
"06037141304, CA","06037141304","=""06037141304""","2.68"
"06037541801, CA","06037541801","=""06037541801""","9.46"
"06037554302, CA","06037554302","=""06037554302""","8.75"
"06037104203, CA","06037104203","=""06037104203""","6.50"
"06037127104, CA","06037127104","=""06037127104""","17.95"
"06037122410, CA","06037122410","=""06037122410""","10.67"
"06037191710, CA","06037191710","=""06037191710""","13.75"
"06037291110, CA","06037291110","=""06037291110""","21.79"
"06037294301, CA","06037294301","=""06037294301""","14.97"
"06037552601, CA","06037552601","=""06037552601""","13.07"
"06037183221, CA","06037183221","=""06037183221""","20.68"
"06037271702, CA","06037271702","=""06037271702""","2.85"
"06037531902, CA","06037531902","=""06037531902""","18.94"
"06037433403, CA","06037433403","=""06037433403""","12.66"
"06037115403, CA","06037115403","=""06037115403""","9.54"
"06037132501, CA","06037132501","=""06037132501""","15.93"
"06037241002, CA","06037241002","=""06037241002""","17.32"
"06037552002, CA","06037552002","=""06037552002""","4.68"
"06037218900, CA","06037218900","=""06037218900""","20.75"
"06037141201, CA","06037141201","=""06037141201""","4.95"
"06037101220, CA","06037101220","=""06037101220""","10.46"
"06037302301, CA","06037302301","=""06037302301""","6.63"
"06037197700, CA","06037197700","=""06037197700""","11.50"
"06037141202, CA","06037141202","=""06037141202""","3.29"
"06037462302, CA","06037462302","=""06037462302""","9.11"
"06037555212, CA","06037555212","=""06037555212""","11.88"
"06037104403, CA","06037104403","=""06037104403""","9.02"
"06037533602, CA","06037533602","=""06037533602""","11.66"
"06037700200, CA","06037700200","=""06037700200""","8.32"
"06037531101, CA","06037531101","=""06037531101""","19.98"
"06037291120, CA","06037291120","=""06037291120""","8.64"
"06037125402, CA","06037125402","=""06037125402""","1.86"
"06037199400, CA","06037199400","=""06037199400""","18.46"
"06037402304, CA","06037402304","=""06037402304""","20.79"
"06037404902, CA","06037404902","=""06037404902""","10.74"
"06037601900, CA","06037601900","=""06037601900""","10.66"
"06037651221, CA","06037651221","=""06037651221""","5.02"
"06037576200, CA","06037576200","=""06037576200""","14.58"
"06037240401, CA","06037240401","=""06037240401""","16.02"
"06037128302, CA","06037128302","=""06037128302""","12.08"
"06037273700, CA","06037273700","=""06037273700""","9.81"
"06037107010, CA","06037107010","=""06037107010""","7.07"
"06037600602, CA","06037600602","=""06037600602""","11.78"
"06037700802, CA","06037700802","=""06037700802""","8.68"
"06037194500, CA","06037194500","=""06037194500""","6.99"
"06037127806, CA","06037127806","=""06037127806""","10.52"
"06037603006, CA","06037603006","=""06037603006""","15.93"
"06037104401, CA","06037104401","=""06037104401""","13.25"
"06037192410, CA","06037192410","=""06037192410""","2.39"
"06037573902, CA","06037573902","=""06037573902""","4.56"
"06037434004, CA","06037434004","=""06037434004""","7.57"
"06037128601, CA","06037128601","=""06037128601""","9.95"
"06037600911, CA","06037600911","=""06037600911""","10.32"
"06037554203, CA","06037554203","=""06037554203""","6.14"
"06037408630, CA","06037408630","=""06037408630""","4.49"
"06037183104, CA","06037183104","=""06037183104""","10.43"
"06037216100, CA","06037216100","=""06037216100""","1.13"
"06037700101, CA","06037700101","=""06037700101""","9.50"
"06037240600, CA","06037240600","=""06037240600""","18.31"
"06037570702, CA","06037570702","=""06037570702""","7.85"
"06037404504, CA","06037404504","=""06037404504""","11.42"
"06037218220, CA","06037218220","=""06037218220""","9.31"
"06037534501, CA","06037534501","=""06037534501""","26.72"
"06037554301, CA","06037554301","=""06037554301""","11.96"
"06037531702, CA","06037531702","=""06037531702""","20.97"
"06037530204, CA","06037530204","=""06037530204""","15.02"
"06037301502, CA","06037301502","=""06037301502""","9.15"
"06037123902, CA","06037123902","=""06037123902""","9.03"
"06037603801, CA","06037603801","=""06037603801""","18.40"
"06037530602, CA","06037530602","=""06037530602""","20.34"
"06037131701, CA","06037131701","=""06037131701""","13.40"
"06037463300, CA","06037463300","=""06037463300""","4.24"
"06037241120, CA","06037241120","=""06037241120""","13.19"
"06037294421, CA","06037294421","=""06037294421""","12.16"
"06037701602, CA","06037701602","=""06037701602""","11.10"
"06037530006, CA","06037530006","=""06037530006""","8.95"
"06037221220, CA","06037221220","=""06037221220""","8.83"
"06037433102, CA","06037433102","=""06037433102""","25.00"
"06037404503, CA","06037404503","=""06037404503""","9.70"
"06037183103, CA","06037183103","=""06037183103""","13.57"
"06037203100, CA","06037203100","=""06037203100""","12.11"
"06037532603, CA","06037532603","=""06037532603""","24.11"
"06037231300, CA","06037231300","=""06037231300""","19.25"
"06037554204, CA","06037554204","=""06037554204""","15.02"
"06037218400, CA","06037218400","=""06037218400""","8.83"
"06037604001, CA","06037604001","=""06037604001""","12.73"
"06037701701, CA","06037701701","=""06037701701""","3.56"
"06037481603, CA","06037481603","=""06037481603""","8.06"
"06037127220, CA","06037127220","=""06037127220""","16.62"
"06037222002, CA","06037222002","=""06037222002""","15.17"
"06037271901, CA","06037271901","=""06037271901""","8.73"
"06037197300, CA","06037197300","=""06037197300""","16.74"
"06037101210, CA","06037101210","=""06037101210""","4.92"
"06037234800, CA","06037234800","=""06037234800""","13.34"
"06037601202, CA","06037601202","=""06037601202""","18.00"
"06037127910, CA","06037127910","=""06037127910""","18.74"
"06037222500, CA","06037222500","=""06037222500""","24.60"
"06037211701, CA","06037211701","=""06037211701""","8.78"
"06037199800, CA","06037199800","=""06037199800""","15.87"
"06037222600, CA","06037222600","=""06037222600""","23.16"
"06037219300, CA","06037219300","=""06037219300""","12.03"
"06037235201, CA","06037235201","=""06037235201""","7.76"
"06037124102, CA","06037124102","=""06037124102""","11.38"
"06037128101, CA","06037128101","=""06037128101""","10.78"
"06037127920, CA","06037127920","=""06037127920""","13.75"
"06037128102, CA","06037128102","=""06037128102""","14.07"
"06037127605, CA","06037127605","=""06037127605""","28.80"
"06037134104, CA","06037134104","=""06037134104""","13.89"
"06037600501, CA","06037600501","=""06037600501""","10.10"
"06037603703, CA","06037603703","=""06037603703""","5.83"
"06037191000, CA","06037191000","=""06037191000""","7.03"
"06037603005, CA","06037603005","=""06037603005""","6.14"
"06037604002, CA","06037604002","=""06037604002""","15.02"
"06037482202, CA","06037482202","=""06037482202""","5.01"
"06037404202, CA","06037404202","=""06037404202""","9.85"
"06037543601, CA","06037543601","=""06037543601""","14.29"
"06037135113, CA","06037135113","=""06037135113""","5.20"
"06037602508, CA","06037602508","=""06037602508""","24.09"
"06037600601, CA","06037600601","=""06037600601""","7.83"
"06037573202, CA","06037573202","=""06037573202""","13.55"
"06037242000, CA","06037242000","=""06037242000""","16.11"
"06037575300, CA","06037575300","=""06037575300""","13.78"
"06037602404, CA","06037602404","=""06037602404""","11.88"
"06037204300, CA","06037204300","=""06037204300""","12.52"
"06037190700, CA","06037190700","=""06037190700""","6.51"
"06037127803, CA","06037127803","=""06037127803""","13.41"
"06037603704, CA","06037603704","=""06037603704""","13.40"
"06037502003, CA","06037502003","=""06037502003""","5.95"
"06037191500, CA","06037191500","=""06037191500""","11.91"
"06037620521, CA","06037620521","=""06037620521""","2.78"
"06037273200, CA","06037273200","=""06037273200""","5.74"
"06037577400, CA","06037577400","=""06037577400""","4.42"
"06037197500, CA","06037197500","=""06037197500""","12.13"
"06037482502, CA","06037482502","=""06037482502""","4.68"
"06037294900, CA","06037294900","=""06037294900""","23.04"
"06037127804, CA","06037127804","=""06037127804""","6.44"
"06037601100, CA","06037601100","=""06037601100""","8.41"
"06037277400, CA","06037277400","=""06037277400""","10.56"
"06037240800, CA","06037240800","=""06037240800""","18.63"
"06037531701, CA","06037531701","=""06037531701""","23.88"
"06037602105, CA","06037602105","=""06037602105""","11.78"
"06037553504, CA","06037553504","=""06037553504""","9.10"
"06037462301, CA","06037462301","=""06037462301""","10.53"
"06037123303, CA","06037123303","=""06037123303""","8.22"
"06037224700, CA","06037224700","=""06037224700""","27.71"
"06037302302, CA","06037302302","=""06037302302""","9.12"
"06037125320, CA","06037125320","=""06037125320""","4.72"
"06037543701, CA","06037543701","=""06037543701""","2.73"
"06037601002, CA","06037601002","=""06037601002""","6.12"
"06037402803, CA","06037402803","=""06037402803""","25.38"
"06037242300, CA","06037242300","=""06037242300""","21.79"
"06037603802, CA","06037603802","=""06037603802""","10.40"
"06037237101, CA","06037237101","=""06037237101""","15.48"
"06037232300, CA","06037232300","=""06037232300""","17.59"
"06037274100, CA","06037274100","=""06037274100""","4.26"
"06037132502, CA","06037132502","=""06037132502""","10.77"
"06037189102, CA","06037189102","=""06037189102""","4.91"
"06037293306, CA","06037293306","=""06037293306""","6.68"
"06037481604, CA","06037481604","=""06037481604""","3.34"
"06037602003, CA","06037602003","=""06037602003""","19.48"
"06037265601, CA","06037265601","=""06037265601""","2.55"
"06037134306, CA","06037134306","=""06037134306""","22.21"
"06037542105, CA","06037542105","=""06037542105""","12.33"
"06037231400, CA","06037231400","=""06037231400""","13.90"
"06037482304, CA","06037482304","=""06037482304""","6.97"
"06037134522, CA","06037134522","=""06037134522""","11.08"
"06037275102, CA","06037275102","=""06037275102""","8.23"
"06037531800, CA","06037531800","=""06037531800""","23.55"
"06037297602, CA","06037297602","=""06037297602""","12.03"
"06037701501, CA","06037701501","=""06037701501""","6.82"
"06037404302, CA","06037404302","=""06037404302""","6.99"
"06037127805, CA","06037127805","=""06037127805""","19.28"
"06037206300, CA","06037206300","=""06037206300""","7.77"
"06037197420, CA","06037197420","=""06037197420""","11.88"
"06037481102, CA","06037481102","=""06037481102""","3.39"
"06037601301, CA","06037601301","=""06037601301""","6.41"
"06037570303, CA","06037570303","=""06037570303""","16.19"
"06037296901, CA","06037296901","=""06037296901""","14.31"
"06037104822, CA","06037104822","=""06037104822""","13.60"
"06037542104, CA","06037542104","=""06037542104""","8.92"
"06037701502, CA","06037701502","=""06037701502""","5.26"
"06037534803, CA","06037534803","=""06037534803""","21.41"
"06037239802, CA","06037239802","=""06037239802""","30.65"
"06037700300, CA","06037700300","=""06037700300""","6.17"
"06037407400, CA","06037407400","=""06037407400""","7.43"
"06037701702, CA","06037701702","=""06037701702""","8.96"
"06037243100, CA","06037243100","=""06037243100""","18.04"
"06037123206, CA","06037123206","=""06037123206""","10.52"
"06037702802, CA","06037702802","=""06037702802""","5.07"
"06037204110, CA","06037204110","=""06037204110""","9.74"
"06037272301, CA","06037272301","=""06037272301""","1.31"
"06037195201, CA","06037195201","=""06037195201""","8.02"
"06037301501, CA","06037301501","=""06037301501""","11.01"
"06037553602, CA","06037553602","=""06037553602""","9.60"
"06037190100, CA","06037190100","=""06037190100""","7.61"
"06037240402, CA","06037240402","=""06037240402""","21.98"
"06037218110, CA","06037218110","=""06037218110""","13.62"
"06037573201, CA","06037573201","=""06037573201""","18.51"
"06037700501, CA","06037700501","=""06037700501""","1.70"
"06037540502, CA","06037540502","=""06037540502""","14.65"
"06037104610, CA","06037104610","=""06037104610""","8.53"
"06037214700, CA","06037214700","=""06037214700""","8.36"
"06037189500, CA","06037189500","=""06037189500""","7.16"
"06037432802, CA","06037432802","=""06037432802""","16.62"
"06037501803, CA","06037501803","=""06037501803""","10.74"
"06037602004, CA","06037602004","=""06037602004""","16.73"
"06037185320, CA","06037185320","=""06037185320""","29.24"
"06037535102, CA","06037535102","=""06037535102""","32.69"
"06037194402, CA","06037194402","=""06037194402""","3.25"
"06037123203, CA","06037123203","=""06037123203""","11.16"
"06037572500, CA","06037572500","=""06037572500""","15.91"
"06037273600, CA","06037273600","=""06037273600""","3.24"
"06037104105, CA","06037104105","=""06037104105""","8.20"
"06037240010, CA","06037240010","=""06037240010""","18.29"
"06037311801, CA","06037311801","=""06037311801""","10.66"
"06037134001, CA","06037134001","=""06037134001""","19.25"
"06037600201, CA","06037600201","=""06037600201""","19.28"
"06037530301, CA","06037530301","=""06037530301""","18.47"
"06037602403, CA","06037602403","=""06037602403""","12.67"
"06037601212, CA","06037601212","=""06037601212""","20.07"
"06037229420, CA","06037229420","=""06037229420""","18.96"
"06037542501, CA","06037542501","=""06037542501""","21.25"
"06037534202, CA","06037534202","=""06037534202""","17.83"
"06037574602, CA","06037574602","=""06037574602""","7.29"
"06037214600, CA","06037214600","=""06037214600""","1.36"
"06037195300, CA","06037195300","=""06037195300""","3.17"
"06037430724, CA","06037430724","=""06037430724""","6.23"
"06037204600, CA","06037204600","=""06037204600""","10.35"
"06037227010, CA","06037227010","=""06037227010""","13.56"
"06037206200, CA","06037206200","=""06037206200""","5.98"
"06037601211, CA","06037601211","=""06037601211""","12.19"
"06037214800, CA","06037214800","=""06037214800""","8.60"
"06037271802, CA","06037271802","=""06037271802""","4.96"
"06037265202, CA","06037265202","=""06037265202""","5.82"
"06037241400, CA","06037241400","=""06037241400""","18.19"
"06037191201, CA","06037191201","=""06037191201""","6.20"
"06037134710, CA","06037134710","=""06037134710""","21.09"
"06037302104, CA","06037302104","=""06037302104""","5.90"
"06037433402, CA","06037433402","=""06037433402""","21.05"
"06037297202, CA","06037297202","=""06037297202""","8.22"
"06037530601, CA","06037530601","=""06037530601""","13.16"
"06037273300, CA","06037273300","=""06037273300""","6.38"
"06037270100, CA","06037270100","=""06037270100""","1.97"
"06037408004, CA","06037408004","=""06037408004""","4.41"
"06037462202, CA","06037462202","=""06037462202""","2.59"
"06037550201, CA","06037550201","=""06037550201""","8.84"
"06037127712, CA","06037127712","=""06037127712""","18.86"
"06037534502, CA","06037534502","=""06037534502""","15.38"
"06037542103, CA","06037542103","=""06037542103""","8.38"
"06037570304, CA","06037570304","=""06037570304""","15.50"
"06037570403, CA","06037570403","=""06037570403""","9.61"
"06037231900, CA","06037231900","=""06037231900""","24.79"
"06037134903, CA","06037134903","=""06037134903""","8.97"
"06037120010, CA","06037120010","=""06037120010""","4.02"
"06037123020, CA","06037123020","=""06037123020""","9.39"
"06037211120, CA","06037211120","=""06037211120""","11.86"
"06037530802, CA","06037530802","=""06037530802""","14.11"
"06037293304, CA","06037293304","=""06037293304""","10.82"
"06037554513, CA","06037554513","=""06037554513""","3.65"
"06037265410, CA","06037265410","=""06037265410""","4.26"
"06037575201, CA","06037575201","=""06037575201""","10.70"
"06037143604, CA","06037143604","=""06037143604""","2.87"
"06037117530, CA","06037117530","=""06037117530""","18.44"
"06037128220, CA","06037128220","=""06037128220""","6.98"
"06037219500, CA","06037219500","=""06037219500""","5.78"
"06037572400, CA","06037572400","=""06037572400""","12.07"
"06037296210, CA","06037296210","=""06037296210""","24.33"
"06037531201, CA","06037531201","=""06037531201""","11.87"
"06037120020, CA","06037120020","=""06037120020""","4.97"
"06037203600, CA","06037203600","=""06037203600""","15.96"
"06037104701, CA","06037104701","=""06037104701""","11.56"
"06037120105, CA","06037120105","=""06037120105""","4.49"
"06037302103, CA","06037302103","=""06037302103""","10.35"
"06037128210, CA","06037128210","=""06037128210""","9.32"
"06037183701, CA","06037183701","=""06037183701""","12.93"
"06037534700, CA","06037534700","=""06037534700""","16.77"
"06037532800, CA","06037532800","=""06037532800""","18.55"
"06037542601, CA","06037542601","=""06037542601""","11.82"
"06037218701, CA","06037218701","=""06037218701""","10.92"
"06037301203, CA","06037301203","=""06037301203""","5.89"
"06037185203, CA","06037185203","=""06037185203""","22.45"
"06037217001, CA","06037217001","=""06037217001""","7.10"
"06037127606, CA","06037127606","=""06037127606""","17.30"
"06037533601, CA","06037533601","=""06037533601""","18.14"
"06037404903, CA","06037404903","=""06037404903""","12.30"
"06037228310, CA","06037228310","=""06037228310""","8.72"
"06037570204, CA","06037570204","=""06037570204""","6.09"
"06037503104, CA","06037503104","=""06037503104""","14.08"
"06037576301, CA","06037576301","=""06037576301""","7.31"
"06037234502, CA","06037234502","=""06037234502""","5.35"
"06037104404, CA","06037104404","=""06037104404""","10.18"
"06037183300, CA","06037183300","=""06037183300""","12.65"
"06037221401, CA","06037221401","=""06037221401""","15.44"
"06037621102, CA","06037621102","=""06037621102""","5.50"
"06037229410, CA","06037229410","=""06037229410""","19.93"
"06037186403, CA","06037186403","=""06037186403""","30.30"
"06037201601, CA","06037201601","=""06037201601""","10.66"
"06037462201, CA","06037462201","=""06037462201""","9.66"
"06037302505, CA","06037302505","=""06037302505""","7.43"
"06037609900, CA","06037609900","=""06037609900""","7.04"
"06037213100, CA","06037213100","=""06037213100""","17.09"
"06037183220, CA","06037183220","=""06037183220""","16.85"
"06037104821, CA","06037104821","=""06037104821""","20.00"
"06037602002, CA","06037602002","=""06037602002""","16.32"
"06037239310, CA","06037239310","=""06037239310""","22.10"
"06037104620, CA","06037104620","=""06037104620""","15.73"
"06037104500, CA","06037104500","=""06037104500""","5.76"
"06037408724, CA","06037408724","=""06037408724""","9.47"
"06037296220, CA","06037296220","=""06037296220""","6.48"
"06037221402, CA","06037221402","=""06037221402""","16.29"
"06037192700, CA","06037192700","=""06037192700""","20.74"
"06037501804, CA","06037501804","=""06037501804""","5.53"
"06037192001, CA","06037192001","=""06037192001""","1.91"
"06037534405, CA","06037534405","=""06037534405""","16.32"
"06037195600, CA","06037195600","=""06037195600""","14.49"
"06037143603, CA","06037143603","=""06037143603""","3.77"
"06037228600, CA","06037228600","=""06037228600""","19.84"
"06037219901, CA","06037219901","=""06037219901""","22.24"
"06037271200, CA","06037271200","=""06037271200""","9.01"
"06037125502, CA","06037125502","=""06037125502""","6.24"
"06037532605, CA","06037532605","=""06037532605""","16.60"
"06037218500, CA","06037218500","=""06037218500""","15.14"
"06037186201, CA","06037186201","=""06037186201""","22.60"
"06037221602, CA","06037221602","=""06037221602""","21.02"
"06037232200, CA","06037232200","=""06037232200""","21.89"
"06037530902, CA","06037530902","=""06037530902""","19.43"
"06037480902, CA","06037480902","=""06037480902""","11.36"
"06037232120, CA","06037232120","=""06037232120""","28.00"
"06037241300, CA","06037241300","=""06037241300""","15.05"
"06037237402, CA","06037237402","=""06037237402""","18.43"
"06037231800, CA","06037231800","=""06037231800""","23.26"
"06037600703, CA","06037600703","=""06037600703""","6.06"
"06037183620, CA","06037183620","=""06037183620""","8.25"
"06037204910, CA","06037204910","=""06037204910""","8.69"
"06037310701, CA","06037310701","=""06037310701""","4.90"
"06037203200, CA","06037203200","=""06037203200""","16.35"
"06037237401, CA","06037237401","=""06037237401""","14.79"
"06037294510, CA","06037294510","=""06037294510""","20.95"
"06037228900, CA","06037228900","=""06037228900""","24.09"
"06037183402, CA","06037183402","=""06037183402""","19.37"
"06037534101, CA","06037534101","=""06037534101""","30.89"
"06037462001, CA","06037462001","=""06037462001""","6.85"
"06037650604, CA","06037650604","=""06037650604""","4.22"
"06037462002, CA","06037462002","=""06037462002""","9.98"
"06037302202, CA","06037302202","=""06037302202""","10.61"
"06037123520, CA","06037123520","=""06037123520""","6.91"
"06037576801, CA","06037576801","=""06037576801""","6.91"
"06037239502, CA","06037239502","=""06037239502""","22.28"
"06037433305, CA","06037433305","=""06037433305""","11.56"
"06037533804, CA","06037533804","=""06037533804""","18.61"
"06037534201, CA","06037534201","=""06037534201""","19.47"
"06037214902, CA","06037214902","=""06037214902""","7.04"
"06037272302, CA","06037272302","=""06037272302""","7.63"
"06037700502, CA","06037700502","=""06037700502""","1.17"
"06037121221, CA","06037121221","=""06037121221""","8.12"
"06037433401, CA","06037433401","=""06037433401""","16.26"
"06037302002, CA","06037302002","=""06037302002""","6.62"
"06037237600, CA","06037237600","=""06037237600""","17.72"
"06037531504, CA","06037531504","=""06037531504""","27.19"
"06037229300, CA","06037229300","=""06037229300""","14.53"
"06037650003, CA","06037650003","=""06037650003""","11.61"
"06037183510, CA","06037183510","=""06037183510""","10.86"
"06037123410, CA","06037123410","=""06037123410""","5.15"
"06037119320, CA","06037119320","=""06037119320""","4.37"
"06037302201, CA","06037302201","=""06037302201""","8.75"
"06037531102, CA","06037531102","=""06037531102""","23.97"
"06037102105, CA","06037102105","=""06037102105""","10.91"
"06037128801, CA","06037128801","=""06037128801""","5.28"
"06037700102, CA","06037700102","=""06037700102""","4.13"
"06037535501, CA","06037535501","=""06037535501""","32.84"
"06037190901, CA","06037190901","=""06037190901""","11.03"
"06037535804, CA","06037535804","=""06037535804""","11.74"
"06037601502, CA","06037601502","=""06037601502""","21.10"
"06037404803, CA","06037404803","=""06037404803""","11.69"
"06037121801, CA","06037121801","=""06037121801""","6.91"
"06037190902, CA","06037190902","=""06037190902""","7.71"
"06037203800, CA","06037203800","=""06037203800""","22.22"
"06037430723, CA","06037430723","=""06037430723""","6.32"
"06037190802, CA","06037190802","=""06037190802""","4.38"
"06037296902, CA","06037296902","=""06037296902""","21.51"
"06037183401, CA","06037183401","=""06037183401""","7.23"
"06037650605, CA","06037650605","=""06037650605""","7.59"
"06037601801, CA","06037601801","=""06037601801""","24.06"
"06037241110, CA","06037241110","=""06037241110""","17.11"
"06037239702, CA","06037239702","=""06037239702""","26.19"
"06037533402, CA","06037533402","=""06037533402""","15.73"
"06037533002, CA","06037533002","=""06037533002""","28.31"
"06037241201, CA","06037241201","=""06037241201""","16.71"
"06037575901, CA","06037575901","=""06037575901""","5.50"
"06037297110, CA","06037297110","=""06037297110""","11.23"
"06037195710, CA","06037195710","=""06037195710""","14.92"
"06037601802, CA","06037601802","=""06037601802""","13.73"
"06037271801, CA","06037271801","=""06037271801""","3.99"
"06037535002, CA","06037535002","=""06037535002""","28.03"
"06037222200, CA","06037222200","=""06037222200""","23.49"
"06037294520, CA","06037294520","=""06037294520""","21.19"
"06037301802, CA","06037301802","=""06037301802""","9.83"
"06037575103, CA","06037575103","=""06037575103""","11.33"
"06037571704, CA","06037571704","=""06037571704""","12.79"
"06037222100, CA","06037222100","=""06037222100""","15.56"
"06037533001, CA","06037533001","=""06037533001""","27.11"
"06037533401, CA","06037533401","=""06037533401""","22.91"
"06037242600, CA","06037242600","=""06037242600""","14.70"
"06037229100, CA","06037229100","=""06037229100""","14.50"
"06037121101, CA","06037121101","=""06037121101""","13.05"
"06037222001, CA","06037222001","=""06037222001""","25.00"
"06037239501, CA","06037239501","=""06037239501""","20.28"
"06037533403, CA","06037533403","=""06037533403""","19.41"
"06037554101, CA","06037554101","=""06037554101""","8.02"
"06037601501, CA","06037601501","=""06037601501""","16.88"
"06037231720, CA","06037231720","=""06037231720""","22.38"
"06037535502, CA","06037535502","=""06037535502""","20.14"
"06037212701, CA","06037212701","=""06037212701""","8.00"
"06037535605, CA","06037535605","=""06037535605""","24.69"
"06037238320, CA","06037238320","=""06037238320""","21.00"
"06037269800, CA","06037269800","=""06037269800""","3.88"
"06037481713, CA","06037481713","=""06037481713""","3.53"
"06037194401, CA","06037194401","=""06037194401""","5.02"
"06037125501, CA","06037125501","=""06037125501""","7.87"
"06037576802, CA","06037576802","=""06037576802""","5.82"
"06037275200, CA","06037275200","=""06037275200""","10.11"
"06037221302, CA","06037221302","=""06037221302""","10.32"
"06037237102, CA","06037237102","=""06037237102""","22.88"
"06037576601, CA","06037576601","=""06037576601""","7.96"
"06037701302, CA","06037701302","=""06037701302""","5.41"
"06037120104, CA","06037120104","=""06037120104""","4.02"
"06037183810, CA","06037183810","=""06037183810""","26.88"
"06037481714, CA","06037481714","=""06037481714""","12.44"
"06037267501, CA","06037267501","=""06037267501""","6.00"
"06037276603, CA","06037276603","=""06037276603""","1.98"
"06037224410, CA","06037224410","=""06037224410""","15.60"
"06037237201, CA","06037237201","=""06037237201""","18.20"
"06037480303, CA","06037480303","=""06037480303""","13.87"
"06037239201, CA","06037239201","=""06037239201""","24.11"
"06037535001, CA","06037535001","=""06037535001""","30.42"
"06037203900, CA","06037203900","=""06037203900""","9.61"
"06037228500, CA","06037228500","=""06037228500""","18.43"
"06037531602, CA","06037531602","=""06037531602""","19.00"
"06037481711, CA","06037481711","=""06037481711""","14.03"
"06037531202, CA","06037531202","=""06037531202""","21.75"
"06037234902, CA","06037234902","=""06037234902""","12.48"
"06037219800, CA","06037219800","=""06037219800""","14.36"
"06037573003, CA","06037573003","=""06037573003""","10.13"
"06037218120, CA","06037218120","=""06037218120""","13.35"
"06037229200, CA","06037229200","=""06037229200""","18.92"
"06037600304, CA","06037600304","=""06037600304""","21.79"
"06037530901, CA","06037530901","=""06037530901""","14.40"
"06037199900, CA","06037199900","=""06037199900""","28.02"
"06037576901, CA","06037576901","=""06037576901""","10.99"
"06037236202, CA","06037236202","=""06037236202""","9.60"
"06037535604, CA","06037535604","=""06037535604""","18.92"
"06037201200, CA","06037201200","=""06037201200""","24.70"
"06037219010, CA","06037219010","=""06037219010""","21.65"
"06037208302, CA","06037208302","=""06037208302""","10.90"
"06037227020, CA","06037227020","=""06037227020""","21.82"
"06037201503, CA","06037201503","=""06037201503""","21.24"
"06037297120, CA","06037297120","=""06037297120""","19.64"
"06037265201, CA","06037265201","=""06037265201""","14.07"
"06037601303, CA","06037601303","=""06037601303""","13.59"
"06037480304, CA","06037480304","=""06037480304""","8.13"
"06037127604, CA","06037127604","=""06037127604""","7.48"
"06037531502, CA","06037531502","=""06037531502""","21.19"
"06037267502, CA","06037267502","=""06037267502""","2.54"
"06037433306, CA","06037433306","=""06037433306""","17.00"
"06037127603, CA","06037127603","=""06037127603""","17.40"
"06037531603, CA","06037531603","=""06037531603""","21.60"
"06037237710, CA","06037237710","=""06037237710""","16.43"
"06037533805, CA","06037533805","=""06037533805""","22.84"
"06037575801, CA","06037575801","=""06037575801""","15.09"
"06037119310, CA","06037119310","=""06037119310""","4.94"
"06037218600, CA","06037218600","=""06037218600""","19.95"
"06037207301, CA","06037207301","=""06037207301""","9.87"
"06037267300, CA","06037267300","=""06037267300""","16.57"
"06037267402, CA","06037267402","=""06037267402""","6.61"
"06037433307, CA","06037433307","=""06037433307""","18.98"
"06037183520, CA","06037183520","=""06037183520""","18.91"
"06037226420, CA","06037226420","=""06037226420""","12.31"
"06037232800, CA","06037232800","=""06037232800""","27.94"
"06037191302, CA","06037191302","=""06037191302""","23.32"
"06037553503, CA","06037553503","=""06037553503""","14.25"
"06037535803, CA","06037535803","=""06037535803""","26.05"
"06037533501, CA","06037533501","=""06037533501""","22.27"
"06037185310, CA","06037185310","=""06037185310""","14.14"
"06037239601, CA","06037239601","=""06037239601""","22.45"
"06037264301, CA","06037264301","=""06037264301""","11.20"
"06037575101, CA","06037575101","=""06037575101""","18.04"
"06037207502, CA","06037207502","=""06037207502""","5.74"
"06037574700, CA","06037574700","=""06037574700""","N/A"
