"Census Tract","FIPS Code","Formatted FIPS","Estimated percent of households with no internet access, between"
"06037262601, CA","06037262601","=""06037262601""","1.11"
"06037113102, CA","06037113102","=""06037113102""","4.89"
"06037573601, CA","06037573601","=""06037573601""","6.09"
"06037408005, CA","06037408005","=""06037408005""","3.40"
"06037139801, CA","06037139801","=""06037139801""","2.79"
"06037910711, CA","06037910711","=""06037910711""","8.05"
"06037403304, CA","06037403304","=""06037403304""","5.22"
"06037920115, CA","06037920115","=""06037920115""","1.19"
"06037430400, CA","06037430400","=""06037430400""","6.08"
"06037800324, CA","06037800324","=""06037800324""","5.41"
"06037530003, CA","06037530003","=""06037530003""","16.65"
"06037700700, CA","06037700700","=""06037700700""","6.01"
"06037650901, CA","06037650901","=""06037650901""","8.07"
"06037194102, CA","06037194102","=""06037194102""","5.36"
"06037464200, CA","06037464200","=""06037464200""","4.53"
"06037403405, CA","06037403405","=""06037403405""","1.31"
"06037650401, CA","06037650401","=""06037650401""","4.56"
"06037482402, CA","06037482402","=""06037482402""","12.82"
"06037920033, CA","06037920033","=""06037920033""","3.21"
"06037541002, CA","06037541002","=""06037541002""","8.55"
"06037262802, CA","06037262802","=""06037262802""","0.68"
"06037139701, CA","06037139701","=""06037139701""","6.16"
"06037143700, CA","06037143700","=""06037143700""","1.10"
"06037980008, CA","06037980008","=""06037980008""","0.00"
"06037574400, CA","06037574400","=""06037574400""","3.33"
"06037404402, CA","06037404402","=""06037404402""","23.68"
"06037403318, CA","06037403318","=""06037403318""","3.99"
"06037408302, CA","06037408302","=""06037408302""","11.78"
"06037980006, CA","06037980006","=""06037980006""","N/A"
"06037910208, CA","06037910208","=""06037910208""","12.43"
"06037141500, CA","06037141500","=""06037141500""","1.20"
"06037111204, CA","06037111204","=""06037111204""","2.91"
"06037408006, CA","06037408006","=""06037408006""","7.87"
"06037920330, CA","06037920330","=""06037920330""","20.42"
"06037532302, CA","06037532302","=""06037532302""","20.27"
"06037503602, CA","06037503602","=""06037503602""","5.41"
"06037122000, CA","06037122000","=""06037122000""","16.45"
"06037278102, CA","06037278102","=""06037278102""","3.17"
"06037141700, CA","06037141700","=""06037141700""","2.46"
"06037106112, CA","06037106112","=""06037106112""","6.57"
"06037500700, CA","06037500700","=""06037500700""","11.93"
"06037703002, CA","06037703002","=""06037703002""","9.83"
"06037460200, CA","06037460200","=""06037460200""","6.60"
"06037910210, CA","06037910210","=""06037910210""","1.93"
"06037433700, CA","06037433700","=""06037433700""","19.24"
"06037408627, CA","06037408627","=""06037408627""","1.30"
"06037401202, CA","06037401202","=""06037401202""","5.90"
"06037431700, CA","06037431700","=""06037431700""","8.85"
"06037403408, CA","06037403408","=""06037403408""","2.68"
"06037900501, CA","06037900501","=""06037900501""","12.85"
"06037482800, CA","06037482800","=""06037482800""","13.94"
"06037464000, CA","06037464000","=""06037464000""","8.13"
"06037400304, CA","06037400304","=""06037400304""","13.29"
"06037407802, CA","06037407802","=""06037407802""","12.53"
"06037543400, CA","06037543400","=""06037543400""","11.01"
"06037137402, CA","06037137402","=""06037137402""","1.98"
